date,equity,bh_equity
2019-10-23,20258.746,20258.748
2019-10-24,20442.125,20192.553
2019-10-25,20417.186,20461.73
2019-10-28,20383.951,20669.127
2019-10-29,20126.342,20664.715
2019-10-30,20217.752,20566.902
2019-10-31,20375.643,20473.54
2019-11-01,20392.26,21042.61
2019-11-04,20516.91,21709.512
2019-11-05,20421.346,21673.941
2019-11-06,20313.318,21589.47
2019-11-07,20483.672,21633.93
2019-11-08,20778.678,21851.781
2019-11-11,20550.148,21825.1
2019-11-12,20703.887,21789.535
2019-11-13,20579.232,21513.889
2019-11-14,20413.041,21611.697
2019-11-15,20009.998,21780.645
2019-11-18,20313.318,21798.426
2019-11-19,20408.879,21931.807
2019-11-20,20712.197,21829.55
2019-11-21,20629.096,21713.957
2019-11-22,20658.182,21896.238
2019-11-25,20566.77,22211.902
2019-11-26,21081.99,21967.37
2019-11-27,20895.014,22131.873
2019-11-29,21094.453,21998.49
2019-12-02,21169.244,21820.662
2019-12-03,21069.525,21389.398
2019-12-04,21152.623,21713.957
2019-12-05,21081.99,21816.207
2019-12-06,21094.453,22140.766
2019-12-09,21081.99,22051.846
2019-12-10,21256.5,22082.969
2019-12-11,21248.19,21985.156
2019-12-12,21194.174,22536.45
2019-12-13,21260.652,22336.383
2019-12-16,21642.916,22549.787
2019-12-17,21293.895,22629.816
2019-12-18,21219.107,22523.115
2019-12-19,21177.559,22612.03
2019-12-20,21447.627,22536.45
2019-12-23,21426.2,22549.787
2019-12-24,21426.2,22536.45
2019-12-26,21426.2,22723.184
2019-12-27,21437.232,22714.287
2019-12-30,21469.676,22656.49
2019-12-31,22888.953,22727.621
2020-01-02,23322.846,23136.656
2020-01-03,22678.092,22763.193
2020-01-06,22653.758,22683.17
2020-01-07,22519.94,22638.715
2020-01-08,22122.543,22927.69
2020-01-09,21538.613,23145.547
2020-01-10,21907.623,23212.238
2020-01-13,21769.748,23465.658
2020-01-14,21969.754,23501.219
2020-01-15,21333.01,23536.787
2020-01-16,21471.787,25092.865
2020-01-17,22051.389,25568.58
2020-01-21,22447.307,24861.68
2020-01-22,22455.47,24835.0
2020-01-23,22463.637,24688.283
2020-01-24,22594.252,24252.586
